	Drug	Target
220	Tamoxifen	Protein kinase C theta type
221	Tamoxifen	Protein kinase C zeta type
222	Tamoxifen	Androgen receptor
223	Tamoxifen	Potassium voltage-gated channel subfamily H member 2
224	Tamoxifen	Nuclear receptor subfamily 1 group I member 2
225	Tamoxifen	Estrogen-related receptor gamma
226	Tamoxifen	Sex hormone-binding globulin
227	Tamoxifen	Mitogen-activated protein kinase 8
228	Disulfiram	Aldehyde dehydrogenase, mitochondrial
229	Disulfiram	Dopamine beta-hydroxylase
230	Diosmin	Aryl hydrocarbon receptor
231	TMC-310911	HIV-1 protease
232	Glutathione	Microsomal glutathione S-transferase 3
233	Glutathione	Hematopoietic prostaglandin D synthase
234	Glutathione	Glutathione S-transferase A1
235	Glutathione	Glutathione S-transferase A2
236	Glutathione	Microsomal glutathione S-transferase 1
237	Glutathione	S-formylglutathione hydrolase
238	Glutathione	Gamma-glutamyltranspeptidase 1
239	Glutathione	Glutathione S-transferase Mu 2
240	Glutathione	Glutaredoxin-1
241	Glutathione	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial
242	Glutathione	Glutathione S-transferase Mu 5
243	Glutathione	Glutathione peroxidase 6
244	Glutathione	Hydroxyacylglutathione hydrolase, mitochondrial
245	Glutathione	Glutathione peroxidase
246	Glutathione	Glutathione peroxidase 7
247	Glutathione	Microsomal glutathione S-transferase 2
248	Glutathione	Glutathione S-transferase omega-2
249	Glutathione	Glutaredoxin-2, mitochondrial
250	Glutathione	Lactoylglutathione lyase
251	Glutathione	Leukotriene C4 synthase
252	Glutathione	Glutathione reductase, mitochondrial
253	Glutathione	Glutathione synthetase
254	Glutathione	Glutathione S-transferase Mu 1
255	Glutathione	Glutathione S-transferase kappa 1
256	Glutathione	Glutathione S-transferase A3
257	Glutathione	Glutathione S-transferase Mu 3
258	Glutathione	Glutathione S-transferase A4
259	Glutathione	Glutathione S-transferase Mu 4
260	Glutathione	Glutathione S-transferase A5
261	Glutathione	Glutathione S-transferase P
262	Glutathione	Glutathione S-transferase omega-1
263	Glutathione	Glutathione peroxidase 1
264	Glutathione	Glutathione peroxidase 2
265	Glutathione	Glutathione S-transferase theta-1
266	Glutathione	Maleylacetoacetate isomerase
267	Glutathione	Epididymal secretory glutathione peroxidase
268	Glutathione	Glutathione peroxidase 3
269	Glutathione	Aldose reductase
270	Glutathione	Matrix metalloproteinase-9
271	Glutathione	Cytochrome P450 3A4
272	Glutathione	Probable glutathione peroxidase 8
273	Aliskiren	Renin
274	Levamisole	Neuronal acetylcholine receptor subunit alpha-3
275	Levamisole	Alkaline phosphatase, placental-like
276	Levamisole	Acetylcholine receptor subunit alpha-type unc-38
277	Levamisole	Acetylcholine receptor subunit alpha-type unc-63
278	Levamisole	Acetylcholine receptor subunit beta-type lev-1
279	Levamisole	Acetylcholine receptor subunit beta-type unc-29
280	Dexamethasone	Glucocorticoid receptor
281	Dexamethasone	Nuclear receptor subfamily 0 group B member 1
282	Dexamethasone	Annexin A1
283	Dexamethasone	Nitric oxide synthase, inducible
284	Dexamethasone	Nuclear receptor subfamily 1 group I member 2
285	Fingolimod	Sphingosine 1-phosphate receptor 5
286	Fingolimod	Histone deacetylase 1
287	Fingolimod	Sphingosine 1-phosphate receptor 1
288	Fingolimod	Sphingosine 1-phosphate receptor 4
289	Fingolimod	Sphingosine 1-phosphate receptor 3
290	Nadroparin	Antithrombin-III
291	Nadroparin	P-selectin
292	Nadroparin	Proto-oncogene c-Fos
293	Nadroparin	Myc proto-oncogene protein
294	Moxifloxacin	DNA topoisomerase 4 subunit A
295	Moxifloxacin	DNA gyrase subunit A
296	Moxifloxacin	DNA topoisomerase 2-alpha
297	Mometasone	Glucocorticoid receptor
298	Mometasone	Progesterone receptor
299	Ceftriaxone	Penicillin-binding protein 2B
300	Ceftriaxone	Solute carrier family 22 member 11
301	Ceftriaxone	Solute carrier family 22 member 6
302	Ceftriaxone	Solute carrier family 22 member 8
303	Ceftriaxone	Solute carrier family 15 member 1
304	Tramadol	Mu-type opioid receptor
305	Tramadol	Sodium-dependent noradrenaline transporter
306	Tramadol	Sodium-dependent serotonin transporter
307	Tramadol	5-hydroxytryptamine receptor 2C
308	Tramadol	Kappa-type opioid receptor
309	Tramadol	Delta-type opioid receptor
310	Tramadol	Alpha-7 nicotinic cholinergic receptor subunit
311	Tramadol	Muscarinic acetylcholine receptor M3
312	Tramadol	Muscarinic acetylcholine receptor M1
313	Tramadol	Substance-P receptor
314	Tramadol	Sodium channel protein type 2 subunit alpha
315	Tramadol	Transient receptor potential cation channel subfamily V member 1
316	Tramadol	Glutamate receptor ionotropic, NMDA 1
317	Tramadol	Glutamate receptor ionotropic, NMDA 2A
318	Tramadol	Glutamate receptor ionotropic, NMDA 2B
319	Tramadol	Glutamate receptor ionotropic, NMDA 2C
320	Tramadol	Glutamate receptor ionotropic, NMDA 2D
321	Tramadol	Glutamate receptor ionotropic, NMDA 3A
322	Tramadol	Glutamate receptor ionotropic, NMDA 3B
323	Tramadol	Adenosine receptor A1
324	Tramadol	Alpha-2A adrenergic receptor
325	Tramadol	Alpha-2B adrenergic receptor
326	Tramadol	Alpha-2C adrenergic receptor
327	Chloroquine	Glutathione S-transferase A2
328	Chloroquine	Tumor necrosis factor
329	Chloroquine	Toll-like receptor 9
330	Chloroquine	Glutathione S-transferase
331	Chloroquine	High mobility group protein B1
332	Chloroquine	Glutathione S-transferase Mu 1
333	Chloroquine	Angiotensin-converting enzyme 2
334	Finasteride	3-oxo-5-alpha-steroid 4-dehydrogenase 2
335	Finasteride	3-oxo-5-alpha-steroid 4-dehydrogenase 1
336	Finasteride	3-oxo-5-beta-steroid 4-dehydrogenase
337	Minocycline	30S ribosomal protein S9
338	Minocycline	30S ribosomal protein S4
339	Minocycline	Interleukin-1 beta
340	Minocycline	Arachidonate 5-lipoxygenase
341	Minocycline	Matrix metalloproteinase-9
342	Minocycline	Vascular endothelial growth factor A
343	Minocycline	Caspase-1
344	Minocycline	Caspase-3
345	Minocycline	Cytochrome c
346	Minocycline	Mitogen-activated protein kinase 1
347	Minocycline	Mitogen-activated protein kinase 10
348	Minocycline	Mitogen-activated protein kinase 11
349	Minocycline	Mitogen-activated protein kinase 12
350	Minocycline	Mitogen-activated protein kinase 13
351	Minocycline	Mitogen-activated protein kinase 14
352	Minocycline	Mitogen-activated protein kinase 15
353	Minocycline	Mitogen-activated protein kinase 3
354	Minocycline	Mitogen-activated protein kinase 4
355	Minocycline	Mitogen-activated protein kinase 6
356	Minocycline	Mitogen-activated protein kinase 7
357	Minocycline	Mitogen-activated protein kinase 8
358	Minocycline	Mitogen-activated protein kinase 9
359	Minocycline	Nitric oxide synthase, inducible
360	Lipoic acid	Lipoyltransferase 1, mitochondrial
361	Lipoic acid	Lipoyl synthase, mitochondrial
362	Lipoic acid	Sodium-dependent multivitamin transporter
363	Tenofovir	Reverse transcriptase/RNaseH
364	Tenofovir	Reverse transcriptase
365	Tenofovir	DNA polymerase
366	Pantoprazole	Potassium-transporting ATPase alpha chain 1
367	Pantoprazole	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
368	Clindamycin	50S ribosomal protein L1
369	Piclidenoson	Adenosine receptor A3
370	Ibuprofen	Prostaglandin G/H synthase 2
371	Ibuprofen	Prostaglandin G/H synthase 1
372	Ibuprofen	Apoptosis regulator Bcl-2
373	Ibuprofen	Thrombomodulin
374	Ibuprofen	Fatty acid-binding protein, intestinal
375	Ibuprofen	Peroxisome proliferator-activated receptor gamma
376	Ibuprofen	Cystic fibrosis transmembrane conductance regulator
377	Ibuprofen	Peroxisome proliferator-activated receptor alpha
378	Ibuprofen	Platelet glycoprotein Ib alpha chain
379	Ibuprofen	Protein S100-A7
380	Alprostadil	Prostaglandin E2 receptor EP2 subtype
381	Alprostadil	Prostaglandin E2 receptor EP1 subtype
382	Alprostadil	Prostaglandin D2 receptor 2
383	Leflunomide	Dihydroorotate dehydrogenase (quinone), mitochondrial
384	Leflunomide	Aryl hydrocarbon receptor
385	Leflunomide	Protein-tyrosine kinase 2-beta
386	Fondaparinux	Antithrombin-III
387	Fondaparinux	Coagulation factor X
388	Acetaminophen	Prostaglandin E synthase 3
389	Acetaminophen	Prostaglandin G/H synthase 2
390	Acetaminophen	Prostaglandin G/H synthase 1
391	Acetaminophen	Transient receptor potential cation channel subfamily V member 1
392	Emtricitabine	Reverse transcriptase/RNaseH
393	Vitamin A	Retinol dehydrogenase 12
394	Vitamin A	Short-chain dehydrogenase/reductase 3
395	Vitamin A	Aldehyde dehydrogenase family 1 member A3
396	Vitamin A	All-trans-retinol 13,14-reductase
397	Vitamin A	Retinol dehydrogenase 11
398	Vitamin A	Dehydrogenase/reductase SDR family member 4
399	Vitamin A	Retinol dehydrogenase 14
400	Vitamin A	Retinol dehydrogenase 8
401	Vitamin A	Lecithin retinol acyltransferase
402	Vitamin A	11-cis retinol dehydrogenase
403	Vitamin A	Retinol dehydrogenase 13
404	Vitamin A	Retinal dehydrogenase 2
405	Vitamin A	Retinal dehydrogenase 1
406	Vitamin A	Apolipoprotein D
407	Vitamin A	Prostaglandin-H2 D-isomerase
408	Ramipril	Angiotensin-converting enzyme
409	Ramipril	B1 bradykinin receptor
410	Remdesivir	Replicase polyprotein 1ab
411	Remdesivir	RNA-directed RNA polymerase L
412	Thrombin	Proteinase-activated receptor 1
413	Thrombin	Proteinase-activated receptor 4
414	Thrombin	Coagulation factor XI
415	Thrombin	Coagulation factor XIII A chain
416	Thrombin	Coagulation factor XIII B chain
417	Thrombin	Fibrinogen alpha chain
418	Thrombin	Fibrinogen beta chain
419	Thrombin	Fibrinogen gamma chain
420	Thrombin	Coagulation factor V
421	Thrombin	Coagulation factor VIII
422	Candesartan	Type-1 angiotensin II receptor
423	Eprosartan	Type-1 angiotensin II receptor
424	Brexanolone	Gamma-aminobutyric acid receptor subunit alpha-1
425	Brexanolone	Gamma-aminobutyric acid receptor subunit alpha-2
426	Brexanolone	Gamma-aminobutyric acid receptor subunit alpha-3
427	Brexanolone	Gamma-aminobutyric acid receptor subunit alpha-4
428	Brexanolone	Gamma-aminobutyric acid receptor subunit alpha-5
429	Brexanolone	Gamma-aminobutyric acid receptor subunit alpha-6
430	Brexanolone	Gamma-aminobutyric acid receptor subunit beta-1
431	Brexanolone	Gamma-aminobutyric acid receptor subunit beta-2
432	Brexanolone	Gamma-aminobutyric acid receptor subunit beta-3
433	Brexanolone	Gamma-aminobutyric acid receptor subunit delta
434	Brexanolone	Gamma-aminobutyric acid receptor subunit epsilon
435	Brexanolone	Gamma-aminobutyric acid receptor subunit gamma-1
436	Brexanolone	Gamma-aminobutyric acid receptor subunit gamma-2
437	Brexanolone	Gamma-aminobutyric acid receptor subunit gamma-3
438	Brexanolone	Gamma-aminobutyric acid receptor subunit pi
439	Brexanolone	Gamma-aminobutyric acid receptor subunit theta
440	Liothyronine	Thyroid hormone receptor alpha
441	Liothyronine	Thyroid hormone receptor beta
442	Liothyronine	Proliferating cell nuclear antigen
443	Defibrotide	Adenosine receptor A1
444	Defibrotide	Adenosine receptor A2a
445	Defibrotide	Adenosine receptor A2b
446	Quinapril	Angiotensin-converting enzyme
447	Clarithromycin	50S ribosomal protein L10
448	Clarithromycin	Potassium voltage-gated channel subfamily H member 2
449	Clarithromycin	Solute carrier organic anion transporter family member 1B1
450	Clarithromycin	Solute carrier organic anion transporter family member 1B3
451	Enalapril	Angiotensin-converting enzyme
452	Benazepril	Angiotensin-converting enzyme
453	Pyridoxine	Pyridoxal kinase
454	Perindopril	Angiotensin-converting enzyme
455	Perindopril	Secreted frizzled-related protein 4
456	Menadione	Vitamin K-dependent gamma-carboxylase
457	Menadione	Vitamin K epoxide reductase complex subunit 1
458	Menadione	Vitamin K epoxide reductase complex subunit 1-like protein 1
459	Menadione	Prothrombin
460	Menadione	Coagulation factor IX
461	Menadione	Vitamin K-dependent protein C
462	Menadione	Vitamin K-dependent protein S
463	Menadione	Ribosyldihydronicotinamide dehydrogenase [quinone]
464	Menadione	NAD(P)H dehydrogenase [quinone] 1
465	Menadione	Osteocalcin
466	Clofazimine	Peroxisome proliferator-activated receptor gamma
467	Clofazimine	Potassium voltage-gated channel subfamily A member 3
468	Ebselen	Bifunctional epoxide hydrolase 2
469	Dotatate gallium Ga-68	Somatostatin receptor type 2
470	Naltrexone	Delta-type opioid receptor
471	Naltrexone	Mu-type opioid receptor
472	Naltrexone	Kappa-type opioid receptor
473	Naltrexone	HCG20471, isoform CRA_c
474	Anakinra	Interleukin-1 receptor type 1
475	Piperacillin	Penicillin-binding protein 3
476	Piperacillin	Penicillin-binding protein 2B
477	Piperacillin	Penicillin-binding protein 2a
478	Piperacillin	Penicillin-binding protein 1b
479	Celecoxib	Prostaglandin G/H synthase 2
480	Celecoxib	3-phosphoinositide-dependent protein kinase 1
481	Celecoxib	Carbonic anhydrase 2
482	Celecoxib	Carbonic anhydrase 3
483	Celecoxib	Cadherin-11
484	Aminolevulinic acid	Delta-aminolevulinic acid dehydratase
485	Toremifene	Estrogen receptor
486	Toremifene	Sex hormone-binding globulin
487	Cholesterol	Nuclear receptor ROR-alpha
488	Cholesterol	Nuclear receptor subfamily 1 group I member 3
489	Cholesterol	Vitamin D3 receptor
490	Cholesterol	C-type lectin domain family 4 member E
491	Creatine	Creatine kinase M-type
492	Creatine	Creatine kinase U-type, mitochondrial
493	Creatine	Creatine kinase B-type
494	Creatine	Creatine kinase S-type, mitochondrial
495	Creatine	Sodium- and chloride-dependent creatine transporter 1
496	Creatine	Guanidinoacetate N-methyltransferase
497	Nafamostat	Prothrombin
498	Nafamostat	Coagulation factor X
499	Nafamostat	Coagulation factor XII
500	Nafamostat	Trypsin-1
501	Nafamostat	Kallikrein-1
502	Nafamostat	Intercellular adhesion molecule 1
503	Mefloquine	Adenosine receptor A2a
504	Zanubrutinib	Tyrosine-protein kinase BTK
505	Zanubrutinib	Epidermal growth factor receptor
506	Zanubrutinib	Receptor tyrosine-protein kinase erbB-2
507	Zanubrutinib	Receptor tyrosine-protein kinase erbB-4
508	Zanubrutinib	Tyrosine-protein kinase ITK/TSK
509	Zanubrutinib	Cytoplasmic tyrosine-protein kinase BMX
510	Zanubrutinib	Tyrosine-protein kinase JAK2
511	Zanubrutinib	Tyrosine-protein kinase Tec
512	Zanubrutinib	Tyrosine-protein kinase Blk
513	Zanubrutinib	Tyrosine-protein kinase JAK3
514	Zanubrutinib	Protein-tyrosine kinase 6
515	Zanubrutinib	Tyrosine-protein kinase Fgr
516	Zanubrutinib	Tyrosine-protein kinase FRK
517	Zanubrutinib	Tyrosine-protein kinase Lck
518	Zanubrutinib	Tyrosine-protein kinase TXK
519	Bivalirudin	Prothrombin
520	Tranilast	Hematopoietic prostaglandin D synthase
521	Selinexor	Exportin-1
522	Ruxolitinib	Tyrosine-protein kinase JAK2
523	Ruxolitinib	Tyrosine-protein kinase JAK1
524	Ruxolitinib	Tyrosine-protein kinase JAK3
525	Ruxolitinib	Non-receptor tyrosine-protein kinase TYK2
526	Ciclesonide	Glucocorticoid receptor
527	Protoporphyrin	Ferritin light chain
528	Baricitinib	Tyrosine-protein kinase JAK1
529	Baricitinib	Tyrosine-protein kinase JAK2
530	Baricitinib	Protein-tyrosine kinase 2-beta
531	Baricitinib	Tyrosine-protein kinase JAK3
532	Simvastatin	3-hydroxy-3-methylglutaryl-coenzyme A reductase
533	Simvastatin	Integrin alpha-L
534	Simvastatin	Histone deacetylase 2
535	Lidocaine	Sodium channel protein type 10 subunit alpha
536	Lidocaine	Sodium channel protein type 9 subunit alpha
537	Lidocaine	Sodium channel protein type 5 subunit alpha
538	Lidocaine	Epidermal growth factor receptor
539	Lidocaine	Sodium channel protein type 4 subunit alpha
540	Lidocaine	Alpha-1-acid glycoprotein 1
541	Lidocaine	Alpha-1-acid glycoprotein 2
542	Colchicine	Tubulin beta chain
543	Tranexamic acid	Plasminogen
544	Epoprostenol	P2Y purinoceptor 12
545	Epoprostenol	Prostacyclin receptor
