	source	target	weight
143	Rivaroxaban (DB06228)	Apixaban (DB06605)	1
144	Rivaroxaban (DB06228)	Edoxaban (DB09075)	1
145	Rivaroxaban (DB06228)	Bemiparin (DB09258)	1
146	Rivaroxaban (DB06228)	Heparin (DB01109)	1
147	Rivaroxaban (DB06228)	Nafamostat (DB12598)	1
148	Angiotensin II (DB11842)	Valsartan (DB00177)	1
149	Angiotensin II (DB11842)	Eprosartan (DB00876)	1
150	Angiotensin II (DB11842)	Irbesartan (DB01029)	1
151	Angiotensin II (DB11842)	Losartan (DB00678)	1
152	Angiotensin II (DB11842)	Azilsartan medoxomil (DB08822)	1
153	Angiotensin II (DB11842)	Candesartan cilexetil (DB00796)	1
154	Angiotensin II (DB11842)	Olmesartan (DB00275)	1
155	Angiotensin II (DB11842)	Telmisartan (DB00966)	1
156	Angiotensin II (DB11842)	Candesartan (DB13919)	1
157	Minocycline (DB01017)	Glutathione (DB00143)	1
158	Minocycline (DB01017)	Montelukast (DB00471)	1
159	Minocycline (DB01017)	Artenimol (DB11638)	1
160	Minocycline (DB01017)	Captopril (DB01197)	1
161	Minocycline (DB01017)	Fostamatinib (DB12010)	8
162	Minocycline (DB01017)	Vitamin E (DB00163)	1
163	Minocycline (DB01017)	Tamoxifen (DB00675)	1
164	Minocycline (DB01017)	Citrulline (DB00155)	1
165	Minocycline (DB01017)	Dexamethasone (DB01234)	1
166	Minocycline (DB01017)	Acetylsalicylic acid (DB00945)	8
167	Minocycline (DB01017)	Resveratrol (DB02709)	1
168	Fluoxetine (DB00472)	Chlorpromazine (DB00477)	2
169	Fluoxetine (DB00472)	Fluvoxamine (DB00176)	2
170	Fluoxetine (DB00472)	Prazosin (DB00457)	1
171	Fluoxetine (DB00472)	Quetiapine (DB01224)	1
172	Fluoxetine (DB00472)	Cisatracurium (DB00565)	1
173	Fluoxetine (DB00472)	Tramadol (DB00193)	2
174	Fluoxetine (DB00472)	Erythromycin (DB00199)	1
175	Fluoxetine (DB00472)	Tamoxifen (DB00675)	1
176	Fluoxetine (DB00472)	Verapamil (DB00661)	2
177	Fluoxetine (DB00472)	Amiodarone (DB01118)	1
178	Fluoxetine (DB00472)	Ketamine (DB01221)	1
179	Fluoxetine (DB00472)	Clarithromycin (DB01211)	1
180	Fluoxetine (DB00472)	Yohimbine (DB01392)	1
181	Fluoxetine (DB00472)	Levamisole (DB00848)	1
182	Amiodarone (DB01118)	Oleic Acid (DB04224)	2
183	Amiodarone (DB01118)	Levomenthol (DB00825)	8
184	Amiodarone (DB01118)	Fluvoxamine (DB00176)	1
185	Amiodarone (DB01118)	Prazosin (DB00457)	1
186	Amiodarone (DB01118)	Cannabidiol (DB09061)	2
187	Amiodarone (DB01118)	Amlodipine (DB00381)	3
188	Amiodarone (DB01118)	Ibuprofen (DB01050)	2
189	Amiodarone (DB01118)	Fenofibrate (DB01039)	1
190	Amiodarone (DB01118)	Erythromycin (DB00199)	1
191	Amiodarone (DB01118)	Metoprolol (DB00264)	2
192	Amiodarone (DB01118)	Tamoxifen (DB00675)	1
193	Amiodarone (DB01118)	alpha-Linolenic acid (DB00132)	2
194	Amiodarone (DB01118)	Verapamil (DB00661)	2
195	Amiodarone (DB01118)	Clofazimine (DB00845)	1
196	Amiodarone (DB01118)	Valproic acid (DB00313)	2
197	Amiodarone (DB01118)	Diltiazem (DB00343)	1
198	Amiodarone (DB01118)	Formoterol (DB00983)	3
199	Amiodarone (DB01118)	Icosapent (DB00159)	2
200	Amiodarone (DB01118)	Resveratrol (DB02709)	2
201	Amiodarone (DB01118)	Chlorpromazine (DB00477)	1
202	Amiodarone (DB01118)	Pioglitazone (DB01132)	1
203	Amiodarone (DB01118)	Spironolactone (DB00421)	9
204	Amiodarone (DB01118)	Nifedipine (DB01115)	5
205	Amiodarone (DB01118)	Liothyronine (DB00279)	2
206	Amiodarone (DB01118)	Clarithromycin (DB01211)	1
207	Amiodarone (DB01118)	Telmisartan (DB00966)	1
208	Elbasvir (DB11574)	Ledipasvir (DB09027)	1
209	Elbasvir (DB11574)	Velpatasvir (DB11613)	1
210	Elbasvir (DB11574)	Daclatasvir (DB09102)	1
211	Fenofibrate (DB01039)	Oleic Acid (DB04224)	1
212	Fenofibrate (DB01039)	Piperine (DB12582)	1
213	Fenofibrate (DB01039)	Ethinylestradiol (DB00977)	1
214	Fenofibrate (DB01039)	Ritonavir (DB00503)	1
215	Fenofibrate (DB01039)	Ibuprofen (DB01050)	1
216	Fenofibrate (DB01039)	Tamoxifen (DB00675)	1
217	Fenofibrate (DB01039)	alpha-Linolenic acid (DB00132)	1
218	Fenofibrate (DB01039)	Valproic acid (DB00313)	1
219	Fenofibrate (DB01039)	Icosapent (DB00159)	1
220	Fenofibrate (DB01039)	Resveratrol (DB02709)	2
221	Fenofibrate (DB01039)	Vitamin E (DB00163)	1
222	Fenofibrate (DB01039)	Spironolactone (DB00421)	1
223	Fenofibrate (DB01039)	Nifedipine (DB01115)	1
224	Fenofibrate (DB01039)	Dexamethasone (DB01234)	1
225	Fenofibrate (DB01039)	Estradiol (DB00783)	1
226	Baricitinib (DB11817)	Zanubrutinib (DB15035)	2
227	Baricitinib (DB11817)	Fostamatinib (DB12010)	4
228	Baricitinib (DB11817)	Leflunomide (DB01097)	1
229	Baricitinib (DB11817)	Tofacitinib (DB08895)	3
230	Baricitinib (DB11817)	Ruxolitinib (DB08877)	3
231	Enoxaparin (DB01225)	Fondaparinux (DB00569)	2
232	Enoxaparin (DB01225)	Tinzaparin (DB06822)	1
233	Enoxaparin (DB01225)	Argatroban (DB00278)	1
234	Enoxaparin (DB01225)	Sulodexide (DB06271)	1
235	Enoxaparin (DB01225)	Apixaban (DB06605)	1
236	Enoxaparin (DB01225)	Nadroparin (DB08813)	1
237	Enoxaparin (DB01225)	Edoxaban (DB09075)	1
238	Enoxaparin (DB01225)	Bemiparin (DB09258)	2
239	Enoxaparin (DB01225)	Heparin (DB01109)	2
240	Enoxaparin (DB01225)	Suramin (DB04786)	1
241	Enoxaparin (DB01225)	Nafamostat (DB12598)	2
242	Chlorpromazine (DB00477)	Fluvoxamine (DB00176)	1
243	Chlorpromazine (DB00477)	Prazosin (DB00457)	6
244	Chlorpromazine (DB00477)	Diphenhydramine (DB01075)	1
245	Chlorpromazine (DB00477)	Quetiapine (DB01224)	19
246	Chlorpromazine (DB00477)	Cannabidiol (DB09061)	2
247	Chlorpromazine (DB00477)	Amlodipine (DB00381)	1
248	Chlorpromazine (DB00477)	Tramadol (DB00193)	6
249	Chlorpromazine (DB00477)	Erythromycin (DB00199)	1
250	Chlorpromazine (DB00477)	Tamoxifen (DB00675)	1
251	Chlorpromazine (DB00477)	Trifluoperazine (DB00831)	3
252	Chlorpromazine (DB00477)	Verapamil (DB00661)	4
253	Chlorpromazine (DB00477)	Lidocaine (DB00281)	2
254	Chlorpromazine (DB00477)	Dipyridamole (DB00975)	1
255	Chlorpromazine (DB00477)	Progesterone (DB00396)	1
256	Chlorpromazine (DB00477)	Thalidomide (DB01041)	2
257	Chlorpromazine (DB00477)	Melatonin (DB01065)	1
258	Chlorpromazine (DB00477)	Dexmedetomidine (DB00633)	1
259	Chlorpromazine (DB00477)	Ketamine (DB01221)	7
260	Chlorpromazine (DB00477)	Nifedipine (DB01115)	1
261	Chlorpromazine (DB00477)	Clarithromycin (DB01211)	1
262	Chlorpromazine (DB00477)	Isoflurane (DB00753)	1
263	Chlorpromazine (DB00477)	Yohimbine (DB01392)	9
264	Chlorpromazine (DB00477)	Ketotifen (DB00920)	1
265	Pyridostigmine (DB00545)	Ketamine (DB01221)	1
266	Bromhexine (DB09019)	Camostat (DB13729)	1
267	Bromhexine (DB09019)	MM3122 (DB16737)	1
268	Bromhexine (DB09019)	Chloroquine (DB00608)	1
269	Bromhexine (DB09019)	Hydroxychloroquine (DB01611)	1
270	Ritonavir (DB00503)	Atazanavir (DB01072)	1
271	Ritonavir (DB00503)	Piperine (DB12582)	1
272	Ritonavir (DB00503)	Ethinylestradiol (DB00977)	1
273	Ritonavir (DB00503)	Tamoxifen (DB00675)	1
274	Ritonavir (DB00503)	Resveratrol (DB02709)	1
275	Ritonavir (DB00503)	Darunavir (DB01264)	1
276	Ritonavir (DB00503)	Vitamin E (DB00163)	1
277	Ritonavir (DB00503)	Spironolactone (DB00421)	1
278	Ritonavir (DB00503)	Nifedipine (DB01115)	1
279	Ritonavir (DB00503)	Dexamethasone (DB01234)	1
280	Ritonavir (DB00503)	Estradiol (DB00783)	1
281	Ramipril (DB00178)	Captopril (DB01197)	2
282	Ramipril (DB00178)	Enalapril (DB00584)	1
283	Ramipril (DB00178)	Moexipril (DB00691)	1
284	Ramipril (DB00178)	Fosinopril (DB00492)	1
285	Ramipril (DB00178)	Perindopril (DB00790)	1
286	Ramipril (DB00178)	Quinapril (DB00881)	1
287	Ramipril (DB00178)	Trandolapril (DB00519)	1
288	Ramipril (DB00178)	Lisinopril (DB00722)	1
289	Ramipril (DB00178)	Benazepril (DB00542)	1
290	Nintedanib (DB09079)	Zanubrutinib (DB15035)	1
291	Nintedanib (DB09079)	Fostamatinib (DB12010)	12
292	Nintedanib (DB09079)	Thalidomide (DB01041)	1
293	Nintedanib (DB09079)	Imatinib (DB00619)	2
294	Nintedanib (DB09079)	Heparin (DB01109)	2
295	Aliskiren (DB09026)	Lisinopril (DB00722)	1
296	GC-376 free acid (DB15796)	PF-07304814 (DB16514)	1
297	GC-376 free acid (DB15796)	PF-07321332 (DB16691)	1
298	GC-376 free acid (DB15796)	Remdesivir (DB14761)	2
299	GC-376 free acid (DB15796)	Nirmatrelvir (DB16691)	1
300	Isoflurane (DB00753)	Cannabidiol (DB09061)	1
301	Isoflurane (DB00753)	Sevoflurane (DB01236)	19
302	Isoflurane (DB00753)	Propofol (DB00818)	16
303	Isoflurane (DB00753)	Trifluoperazine (DB00831)	1
304	Isoflurane (DB00753)	Melatonin (DB01065)	1
305	Isoflurane (DB00753)	Ivermectin (DB00602)	1
306	Isoflurane (DB00753)	Nifedipine (DB01115)	1
307	Isoflurane (DB00753)	Midazolam (DB00683)	16
308	Isoflurane (DB00753)	Estradiol (DB00783)	1
309	Diosmin (DB08995)	Ginseng (DB01404)	1
310	Diosmin (DB08995)	Atorvastatin (DB01076)	1
311	Diosmin (DB08995)	Leflunomide (DB01097)	1
312	Diosmin (DB08995)	Omeprazole (DB00338)	1
313	Diosmin (DB08995)	Resveratrol (DB02709)	1
314	Bicalutamide (DB01128)	Progesterone (DB00396)	1
315	Bicalutamide (DB01128)	Tamoxifen (DB00675)	1
316	Bicalutamide (DB01128)	Spironolactone (DB00421)	1
317	Bicalutamide (DB01128)	Norelgestromin (DB06713)	1
318	Bicalutamide (DB01128)	Enzalutamide (DB08899)	1
319	Darunavir (DB01264)	Atazanavir (DB01072)	1
320	Ciclesonide (DB01410)	Mometasone (DB00764)	1
321	Ciclesonide (DB01410)	Betamethasone (DB00443)	1
322	Ciclesonide (DB01410)	Prednisone (DB00635)	1
323	Ciclesonide (DB01410)	Progesterone (DB00396)	1
324	Ciclesonide (DB01410)	Spironolactone (DB00421)	1
325	Ciclesonide (DB01410)	Hydrocortisone (DB00741)	1
326	Ciclesonide (DB01410)	Budesonide (DB01222)	1
327	Ciclesonide (DB01410)	Prednisolone (DB00860)	1
328	Ciclesonide (DB01410)	Methylprednisolone (DB00959)	1
329	Ciclesonide (DB01410)	Mometasone furoate (DB14512)	1
330	Ciclesonide (DB01410)	Prednisolone acetate (DB15566)	1
331	Ciclesonide (DB01410)	Dexamethasone (DB01234)	1
332	Candesartan cilexetil (DB00796)	Valsartan (DB00177)	1
333	Candesartan cilexetil (DB00796)	Eprosartan (DB00876)	1
334	Candesartan cilexetil (DB00796)	Irbesartan (DB01029)	1
335	Candesartan cilexetil (DB00796)	Losartan (DB00678)	1
336	Candesartan cilexetil (DB00796)	Azilsartan medoxomil (DB08822)	1
337	Candesartan cilexetil (DB00796)	Olmesartan (DB00275)	1
338	Candesartan cilexetil (DB00796)	Telmisartan (DB00966)	1
339	Candesartan cilexetil (DB00796)	Candesartan (DB13919)	1
340	Lisinopril (DB00722)	Captopril (DB01197)	1
341	Lisinopril (DB00722)	Enalapril (DB00584)	1
342	Lisinopril (DB00722)	Moexipril (DB00691)	1
343	Lisinopril (DB00722)	Fosinopril (DB00492)	1
344	Lisinopril (DB00722)	Perindopril (DB00790)	1
345	Lisinopril (DB00722)	Quinapril (DB00881)	1
346	Lisinopril (DB00722)	Trandolapril (DB00519)	1
347	Lisinopril (DB00722)	Benazepril (DB00542)	1
348	Dexamethasone (DB01234)	Piperine (DB12582)	1
349	Dexamethasone (DB01234)	Mometasone (DB00764)	1
350	Dexamethasone (DB01234)	Ethinylestradiol (DB00977)	1
351	Dexamethasone (DB01234)	Tamoxifen (DB00675)	1
352	Dexamethasone (DB01234)	Methylprednisolone (DB00959)	2
353	Dexamethasone (DB01234)	Prednisolone acetate (DB15566)	1
354	Dexamethasone (DB01234)	Resveratrol (DB02709)	1
355	Dexamethasone (DB01234)	Betamethasone (DB00443)	1
356	Dexamethasone (DB01234)	Prednisolone (DB00860)	1
357	Dexamethasone (DB01234)	Prednisone (DB00635)	1
358	Dexamethasone (DB01234)	Progesterone (DB00396)	1
359	Dexamethasone (DB01234)	Vitamin E (DB00163)	1
360	Dexamethasone (DB01234)	Spironolactone (DB00421)	2
361	Dexamethasone (DB01234)	Budesonide (DB01222)	2
362	Dexamethasone (DB01234)	Hydrocortisone (DB00741)	2
363	Dexamethasone (DB01234)	Nifedipine (DB01115)	1
364	Dexamethasone (DB01234)	Citrulline (DB00155)	1
365	Dexamethasone (DB01234)	Mometasone furoate (DB14512)	1
366	Dexamethasone (DB01234)	Estradiol (DB00783)	1
367	Dipyridamole (DB00975)	Ibudilast (DB05266)	1
368	Dipyridamole (DB00975)	Iloprost (DB01088)	1
369	Dipyridamole (DB00975)	Fostamatinib (DB12010)	1
370	Dipyridamole (DB00975)	Sildenafil (DB00203)	1
371	Dipyridamole (DB00975)	Progesterone (DB00396)	1
372	Dipyridamole (DB00975)	Thalidomide (DB01041)	1
373	Dipyridamole (DB00975)	Lidocaine (DB00281)	1
374	Rabeprazole (DB01129)	Omeprazole (DB00338)	1
375	Valsartan (DB00177)	Eprosartan (DB00876)	1
376	Valsartan (DB00177)	Irbesartan (DB01029)	1
377	Valsartan (DB00177)	Losartan (DB00678)	1
378	Valsartan (DB00177)	Azilsartan medoxomil (DB08822)	1
379	Valsartan (DB00177)	Olmesartan (DB00275)	1
380	Valsartan (DB00177)	Telmisartan (DB00966)	1
381	Valsartan (DB00177)	Candesartan (DB13919)	1
382	Ibudilast (DB05266)	Iloprost (DB01088)	4
383	Vitamin D (DB11094)	Cholecalciferol (DB00169)	1
384	Atorvastatin (DB01076)	Sitagliptin (DB01261)	1
385	Atorvastatin (DB01076)	Ginseng (DB01404)	1
386	Atorvastatin (DB01076)	Simvastatin (DB00641)	2
387	Atorvastatin (DB01076)	Cannabidiol (DB09061)	1
388	Atorvastatin (DB01076)	Rosuvastatin (DB01098)	1
389	Atorvastatin (DB01076)	Leflunomide (DB01097)	1
390	Atorvastatin (DB01076)	Linagliptin (DB08882)	1
391	Atorvastatin (DB01076)	Omeprazole (DB00338)	1
392	Atorvastatin (DB01076)	Valproic acid (DB00313)	1
393	Atorvastatin (DB01076)	Resveratrol (DB02709)	2
394	Prazosin (DB00457)	Fluvoxamine (DB00176)	1
395	Prazosin (DB00457)	Quetiapine (DB01224)	5
396	Prazosin (DB00457)	Tramadol (DB00193)	2
397	Prazosin (DB00457)	Erythromycin (DB00199)	1
398	Prazosin (DB00457)	Tamoxifen (DB00675)	1
399	Prazosin (DB00457)	Trifluoperazine (DB00831)	1
400	Prazosin (DB00457)	Verapamil (DB00661)	4
401	Prazosin (DB00457)	Dexmedetomidine (DB00633)	1
402	Prazosin (DB00457)	Clarithromycin (DB01211)	1
403	Prazosin (DB00457)	Yohimbine (DB01392)	2
404	Iloprost (DB01088)	Epoprostenol (DB01240)	1
405	Lenalidomide (DB00480)	Ginseng (DB01404)	1
406	Lenalidomide (DB00480)	Cannabidiol (DB09061)	1
407	Lenalidomide (DB00480)	Acetylsalicylic acid (DB00945)	1
408	Lenalidomide (DB00480)	Ibuprofen (DB01050)	1
409	Lenalidomide (DB00480)	Naproxen (DB00788)	1
410	Lenalidomide (DB00480)	Thalidomide (DB01041)	2
411	Lenalidomide (DB00480)	Nimesulide (DB04743)	1
412	Lenalidomide (DB00480)	Acetaminophen (DB00316)	1
413	Lenalidomide (DB00480)	Icosapent (DB00159)	1
414	Lenalidomide (DB00480)	Celecoxib (DB00482)	1
415	Lenalidomide (DB00480)	Resveratrol (DB02709)	1
416	Nelfinavir (DB00220)	TMC-310911 (DB15623)	1
417	Ibuprofen (DB01050)	Oleic Acid (DB04224)	2
418	Ibuprofen (DB01050)	Cannabidiol (DB09061)	3
419	Ibuprofen (DB01050)	alpha-Linolenic acid (DB00132)	2
420	Ibuprofen (DB01050)	Clofazimine (DB00845)	1
421	Ibuprofen (DB01050)	Valproic acid (DB00313)	2
422	Ibuprofen (DB01050)	Acetaminophen (DB00316)	2
423	Ibuprofen (DB01050)	Icosapent (DB00159)	4
424	Ibuprofen (DB01050)	Celecoxib (DB00482)	1
425	Ibuprofen (DB01050)	Acetylsalicylic acid (DB00945)	2
426	Ibuprofen (DB01050)	Nimesulide (DB04743)	1
427	Ibuprofen (DB01050)	Resveratrol (DB02709)	4
428	Ibuprofen (DB01050)	Ginseng (DB01404)	1
429	Ibuprofen (DB01050)	Pioglitazone (DB01132)	1
430	Ibuprofen (DB01050)	Naproxen (DB00788)	2
431	Ibuprofen (DB01050)	Thalidomide (DB01041)	1
432	Ibuprofen (DB01050)	Telmisartan (DB00966)	1
433	Azilsartan medoxomil (DB08822)	Eprosartan (DB00876)	1
434	Azilsartan medoxomil (DB08822)	Irbesartan (DB01029)	1
435	Azilsartan medoxomil (DB08822)	Losartan (DB00678)	1
436	Azilsartan medoxomil (DB08822)	Olmesartan (DB00275)	1
437	Azilsartan medoxomil (DB08822)	Telmisartan (DB00966)	1
438	Azilsartan medoxomil (DB08822)	Candesartan (DB13919)	1
439	Montelukast (DB00471)	Fostamatinib (DB12010)	1
440	Montelukast (DB00471)	Vitamin E (DB00163)	1
441	Montelukast (DB00471)	Resveratrol (DB02709)	1
442	Amlodipine (DB00381)	Levomenthol (DB00825)	2
443	Amlodipine (DB00381)	Cannabidiol (DB09061)	1
444	Amlodipine (DB00381)	Verapamil (DB00661)	2
445	Amlodipine (DB00381)	Spironolactone (DB00421)	5
446	Amlodipine (DB00381)	Nifedipine (DB01115)	2
447	Amlodipine (DB00381)	Diltiazem (DB00343)	1
448	Tofacitinib (DB08895)	Zanubrutinib (DB15035)	2
449	Tofacitinib (DB08895)	Fostamatinib (DB12010)	4
450	Tofacitinib (DB08895)	Ruxolitinib (DB08877)	4
451	Edoxaban (DB09075)	Fondaparinux (DB00569)	1
452	Edoxaban (DB09075)	Apixaban (DB06605)	1
453	Edoxaban (DB09075)	Bemiparin (DB09258)	1
454	Edoxaban (DB09075)	Heparin (DB01109)	1
