	source	target	weight
47	Vitamin K-dependent protein C	Vitamin K-dependent protein S	1
48	Vitamin K-dependent protein C	NAD(P)H dehydrogenase [quinone] 1	1
49	Vitamin K-dependent protein C	Ribosyldihydronicotinamide dehydrogenase [quinone]	1
50	Vitamin K-dependent protein S	Osteocalcin	1
51	Vitamin K-dependent protein S	NAD(P)H dehydrogenase [quinone] 1	1
52	Vitamin K-dependent protein S	Ribosyldihydronicotinamide dehydrogenase [quinone]	1
53	Ribosyldihydronicotinamide dehydrogenase [quinone]	Heat shock protein HSP 90-alpha	1
54	Ribosyldihydronicotinamide dehydrogenase [quinone]	Peroxisome proliferator-activated receptor gamma	1
55	Ribosyldihydronicotinamide dehydrogenase [quinone]	Nuclear receptor ROR-beta	1
56	Ribosyldihydronicotinamide dehydrogenase [quinone]	Carbonyl reductase [NADPH] 1	2
57	Ribosyldihydronicotinamide dehydrogenase [quinone]	Casein kinase II subunit beta	1
58	Ribosyldihydronicotinamide dehydrogenase [quinone]	Estrogen receptor alpha	3
59	Ribosyldihydronicotinamide dehydrogenase [quinone]	Aryl hydrocarbon receptor	2
60	Ribosyldihydronicotinamide dehydrogenase [quinone]	Sex hormone-binding globulin	1
61	Ribosyldihydronicotinamide dehydrogenase [quinone]	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	1
62	Ribosyldihydronicotinamide dehydrogenase [quinone]	Melatonin receptor type 1A	2
63	Ribosyldihydronicotinamide dehydrogenase [quinone]	Eukaryotic translation initiation factor 3 subunit F	1
64	Ribosyldihydronicotinamide dehydrogenase [quinone]	RAC-alpha serine/threonine-protein kinase	1
65	Ribosyldihydronicotinamide dehydrogenase [quinone]	Acetylserotonin O-methyltransferase	1
66	Ribosyldihydronicotinamide dehydrogenase [quinone]	Casein kinase II subunit alpha	2
67	Ribosyldihydronicotinamide dehydrogenase [quinone]	Tyrosine-protein kinase HCK	1
68	Ribosyldihydronicotinamide dehydrogenase [quinone]	Integrin beta-3	1
69	Ribosyldihydronicotinamide dehydrogenase [quinone]	Amyloid beta A4 protein	1
70	Ribosyldihydronicotinamide dehydrogenase [quinone]	Alpha-synuclein	1
71	Ribosyldihydronicotinamide dehydrogenase [quinone]	Eosinophil peroxidase	1
72	Ribosyldihydronicotinamide dehydrogenase [quinone]	Peroxisome proliferator-activated receptor alpha	1
73	Ribosyldihydronicotinamide dehydrogenase [quinone]	NAD-dependent protein deacetylase sirtuin-1	1
74	Ribosyldihydronicotinamide dehydrogenase [quinone]	RuvB-like 2	1
75	Ribosyldihydronicotinamide dehydrogenase [quinone]	HTH-type transcriptional regulator TtgR	1
76	Ribosyldihydronicotinamide dehydrogenase [quinone]	Heat shock-related 70 kDa protein 2	1
77	Ribosyldihydronicotinamide dehydrogenase [quinone]	Actin, cytoplasmic 1	1
78	Ribosyldihydronicotinamide dehydrogenase [quinone]	Arachidonate 5-lipoxygenase	1
79	Ribosyldihydronicotinamide dehydrogenase [quinone]	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	1
80	Ribosyldihydronicotinamide dehydrogenase [quinone]	Prostaglandin G/H synthase 1	1
81	Ribosyldihydronicotinamide dehydrogenase [quinone]	Estrogen receptor beta	1
82	Ribosyldihydronicotinamide dehydrogenase [quinone]	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	1
83	Ribosyldihydronicotinamide dehydrogenase [quinone]	Osteocalcin	1
84	Ribosyldihydronicotinamide dehydrogenase [quinone]	Serine/threonine-protein kinase pim-1	1
85	Ribosyldihydronicotinamide dehydrogenase [quinone]	Prostaglandin G/H synthase 2	1
86	Ribosyldihydronicotinamide dehydrogenase [quinone]	ATP synthase subunit beta, mitochondrial	1
87	Ribosyldihydronicotinamide dehydrogenase [quinone]	Arachidonate 15-lipoxygenase	1
88	Ribosyldihydronicotinamide dehydrogenase [quinone]	Melatonin receptor type 1B	2
89	Ribosyldihydronicotinamide dehydrogenase [quinone]	ATP synthase subunit gamma, mitochondrial	1
90	Ribosyldihydronicotinamide dehydrogenase [quinone]	Splicing factor 3B subunit 3	1
91	Ribosyldihydronicotinamide dehydrogenase [quinone]	Ubiquitin-like modifier-activating enzyme 1	1
92	Ribosyldihydronicotinamide dehydrogenase [quinone]	CCAAT/enhancer-binding protein beta	1
93	Ribosyldihydronicotinamide dehydrogenase [quinone]	Myeloperoxidase	1
94	Ribosyldihydronicotinamide dehydrogenase [quinone]	Calreticulin	1
95	Ribosyldihydronicotinamide dehydrogenase [quinone]	Tyrosine--tRNA ligase, cytoplasmic	1
96	Ribosyldihydronicotinamide dehydrogenase [quinone]	Phosphatidylinositol 4-kinase type 2-beta	1
97	Ribosyldihydronicotinamide dehydrogenase [quinone]	Nuclear receptor subfamily 1 group I member 3	1
98	Ribosyldihydronicotinamide dehydrogenase [quinone]	C-type lectin domain family 14 member A	1
99	Ribosyldihydronicotinamide dehydrogenase [quinone]	Calmodulin	1
100	Ribosyldihydronicotinamide dehydrogenase [quinone]	ATP synthase subunit alpha, mitochondrial	1
101	Ribosyldihydronicotinamide dehydrogenase [quinone]	NAD(P)H dehydrogenase [quinone] 1	1
102	Ribosyldihydronicotinamide dehydrogenase [quinone]	Integrin alpha-5	1
103	Ribosyldihydronicotinamide dehydrogenase [quinone]	Far upstream element-binding protein 2	1
104	Ribosyldihydronicotinamide dehydrogenase [quinone]	Solute carrier family 2, facilitated glucose transporter member 1	1
105	Ribosyldihydronicotinamide dehydrogenase [quinone]	UDP-glucuronosyltransferase 3A1	1
106	Ribosyldihydronicotinamide dehydrogenase [quinone]	Cytochrome P450 1B1	1
107	Ribosyldihydronicotinamide dehydrogenase [quinone]	Nuclear receptor subfamily 1 group I member 2	2
108	Ribosyldihydronicotinamide dehydrogenase [quinone]	Serine/threonine-protein kinase 17B	1
109	NAD(P)H dehydrogenase [quinone] 1	Osteocalcin	1
110	Sodium-dependent serotonin transporter	Alpha-1B adrenergic receptor	1
111	Sodium-dependent serotonin transporter	Cyclin-dependent kinases regulatory subunit 1	1
112	Sodium-dependent serotonin transporter	Neuronal acetylcholine receptor subunit alpha-2	1
113	Sodium-dependent serotonin transporter	Voltage-dependent T-type calcium channel subunit alpha-1H	1
114	Sodium-dependent serotonin transporter	5-hydroxytryptamine receptor 2C	1
115	Sodium-dependent serotonin transporter	Neuronal acetylcholine receptor subunit alpha-3	1
116	Sodium-dependent serotonin transporter	Potassium voltage-gated channel subfamily H member 2	3
117	Sodium-dependent serotonin transporter	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	1
118	Sodium-dependent serotonin transporter	Voltage-dependent T-type calcium channel subunit alpha-1G	1
119	Sodium-dependent serotonin transporter	Neuronal acetylcholine receptor subunit beta-4	1
120	Sodium-dependent serotonin transporter	Alpha-1D adrenergic receptor	1
121	Sodium-dependent serotonin transporter	Voltage-dependent L-type calcium channel subunit alpha-1C	1
122	Sodium-dependent serotonin transporter	Alpha-1A adrenergic receptor	1
123	Sodium-dependent serotonin transporter	ATP-sensitive inward rectifier potassium channel 11	1
124	Sodium-dependent serotonin transporter	Voltage-dependent N-type calcium channel subunit alpha-1B	1
125	Potassium voltage-gated channel subfamily H member 2	Alpha-1B adrenergic receptor	1
126	Potassium voltage-gated channel subfamily H member 2	Cyclin-dependent kinases regulatory subunit 1	1
127	Potassium voltage-gated channel subfamily H member 2	Neuronal acetylcholine receptor subunit alpha-2	1
128	Potassium voltage-gated channel subfamily H member 2	Solute carrier organic anion transporter family member 1B3	1
129	Potassium voltage-gated channel subfamily H member 2	5-hydroxytryptamine receptor 2C	1
130	Potassium voltage-gated channel subfamily H member 2	Voltage-dependent T-type calcium channel subunit alpha-1H	1
131	Potassium voltage-gated channel subfamily H member 2	Neuronal acetylcholine receptor subunit alpha-3	1
132	Potassium voltage-gated channel subfamily H member 2	Solute carrier organic anion transporter family member 1B1	1
133	Potassium voltage-gated channel subfamily H member 2	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	1
134	Potassium voltage-gated channel subfamily H member 2	Voltage-dependent T-type calcium channel subunit alpha-1G	1
135	Potassium voltage-gated channel subfamily H member 2	50S ribosomal protein L10	1
136	Potassium voltage-gated channel subfamily H member 2	Neuronal acetylcholine receptor subunit beta-4	1
137	Potassium voltage-gated channel subfamily H member 2	Alpha-1D adrenergic receptor	1
138	Potassium voltage-gated channel subfamily H member 2	Voltage-dependent L-type calcium channel subunit alpha-1C	1
139	Potassium voltage-gated channel subfamily H member 2	Alpha-1A adrenergic receptor	1
140	Potassium voltage-gated channel subfamily H member 2	ATP-sensitive inward rectifier potassium channel 11	1
141	Potassium voltage-gated channel subfamily H member 2	Voltage-dependent N-type calcium channel subunit alpha-1B	1
142	Beta-1 adrenergic receptor	Beta-2 adrenergic receptor	2
143	Beta-1 adrenergic receptor	Beta-3 adrenergic receptor	1
144	Beta-2 adrenergic receptor	Beta-3 adrenergic receptor	1
145	Tyrosine-protein kinase JAK1	Tyrosine-protein kinase JAK3	2
146	Tyrosine-protein kinase JAK1	Protein-tyrosine kinase 2-beta	1
147	Tyrosine-protein kinase JAK1	Non-receptor tyrosine-protein kinase TYK2	1
148	Tyrosine-protein kinase JAK1	Tyrosine-protein kinase JAK2	3
149	Tyrosine-protein kinase JAK2	Tyrosine-protein kinase FRK	1
150	Tyrosine-protein kinase JAK2	Epidermal growth factor receptor	1
151	Tyrosine-protein kinase JAK2	Receptor tyrosine-protein kinase erbB-4	1
152	Tyrosine-protein kinase JAK2	Cytoplasmic tyrosine-protein kinase BMX	1
153	Tyrosine-protein kinase JAK2	Tyrosine-protein kinase JAK3	3
154	Tyrosine-protein kinase JAK2	Tyrosine-protein kinase Lck	1
155	Tyrosine-protein kinase JAK2	Non-receptor tyrosine-protein kinase TYK2	1
156	Tyrosine-protein kinase JAK2	Tyrosine-protein kinase Fgr	1
157	Tyrosine-protein kinase JAK2	Protein-tyrosine kinase 2-beta	1
158	Tyrosine-protein kinase JAK2	Tyrosine-protein kinase Blk	1
159	Tyrosine-protein kinase JAK2	Tyrosine-protein kinase ITK/TSK	1
160	Tyrosine-protein kinase JAK2	Tyrosine-protein kinase BTK	1
161	Tyrosine-protein kinase JAK2	Receptor tyrosine-protein kinase erbB-2	1
162	Tyrosine-protein kinase JAK2	Protein-tyrosine kinase 6	1
163	Tyrosine-protein kinase JAK2	Tyrosine-protein kinase Tec	1
164	Tyrosine-protein kinase JAK2	Tyrosine-protein kinase TXK	1
165	Sphingosine 1-phosphate receptor 1	Sphingosine 1-phosphate receptor 5	2
166	Sphingosine 1-phosphate receptor 1	Histone deacetylase 1	1
167	Sphingosine 1-phosphate receptor 1	Sphingosine 1-phosphate receptor 3	1
168	Sphingosine 1-phosphate receptor 1	Sphingosine 1-phosphate receptor 4	1
169	Sphingosine 1-phosphate receptor 5	Histone deacetylase 1	1
170	Sphingosine 1-phosphate receptor 5	Sphingosine 1-phosphate receptor 3	1
171	Sphingosine 1-phosphate receptor 5	Sphingosine 1-phosphate receptor 4	1
172	DNA topoisomerase 4 subunit A	DNA topoisomerase 2-alpha	1
173	DNA topoisomerase 4 subunit A	DNA gyrase subunit A	2
174	DNA gyrase subunit A	DNA topoisomerase 2-alpha	1
175	DNA topoisomerase 2-alpha	RAC-alpha serine/threonine-protein kinase	1
176	DNA topoisomerase 2-alpha	Nuclear receptor coactivator 2	1
177	DNA topoisomerase 2-alpha	DNA topoisomerase 2-beta	1
178	DNA topoisomerase 2-alpha	Estrogen receptor beta	1
179	DNA topoisomerase 2-alpha	Steroid hormone receptor ERR2	1
180	DNA topoisomerase 2-alpha	Estrogen receptor alpha	1
181	DNA topoisomerase 2-alpha	Protein-tyrosine kinase 2-beta	1
182	DNA topoisomerase 2-alpha	Sex hormone-binding globulin	1
183	DNA topoisomerase 2-alpha	Steroid hormone receptor ERR1	1
184	DNA topoisomerase 2-alpha	Cytochrome P450 1B1	1
185	DNA topoisomerase 2-alpha	Nuclear receptor subfamily 1 group I member 2	1
186	DNA topoisomerase 2-alpha	G-protein coupled estrogen receptor 1	1
187	DNA topoisomerase 2-alpha	Nuclear receptor coactivator 1	1
188	Androgen receptor	Estrogen receptor alpha	1
189	Androgen receptor	Sex hormone-binding globulin	1
190	Androgen receptor	Glucocorticoid receptor	1
191	Androgen receptor	Estrogen receptor beta	1
192	Androgen receptor	Alpha-1-acid glycoprotein 1	1
193	Androgen receptor	Steroid 17-alpha-hydroxylase/17,20 lyase	1
194	Androgen receptor	Progesterone receptor	1
195	Androgen receptor	Kappa-type opioid receptor	1
196	Androgen receptor	Mineralocorticoid receptor	1
197	Reverse transcriptase/RNaseH	DNA polymerase/reverse transcriptase	1
198	Reverse transcriptase/RNaseH	DNA polymerase	1
199	Reverse transcriptase/RNaseH	Reverse transcriptase	1
200	Replicase polyprotein 1ab	RNA-directed RNA polymerase L	2
201	Replicase polyprotein 1ab	Replicase polyprotein 1a	1
202	Glycine receptor subunit alpha-3	Gamma-aminobutyric acid receptor subunit beta-3	1
203	Potassium-transporting ATPase alpha chain 1	Aryl hydrocarbon receptor	1
204	Potassium-transporting ATPase alpha chain 1	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	1
205	Glucocorticoid receptor	Estrogen receptor alpha	1
206	Glucocorticoid receptor	Sex hormone-binding globulin	1
207	Glucocorticoid receptor	Annexin A1	4
208	Glucocorticoid receptor	Estrogen receptor beta	1
209	Glucocorticoid receptor	Alpha-1-acid glycoprotein 1	1
210	Glucocorticoid receptor	Nuclear receptor subfamily 1 group I member 2	1
211	Glucocorticoid receptor	Steroid 17-alpha-hydroxylase/17,20 lyase	1
212	Glucocorticoid receptor	Nitric oxide synthase, inducible	1
213	Glucocorticoid receptor	Progesterone receptor	2
214	Glucocorticoid receptor	Nuclear receptor subfamily 0 group B member 1	1
215	Glucocorticoid receptor	Kappa-type opioid receptor	1
216	Glucocorticoid receptor	Mineralocorticoid receptor	1
217	RNA-directed RNA polymerase L	RNA-directed RNA polymerase catalytic subunit	1
218	RNA-directed RNA polymerase L	Inosine-5'-monophosphate dehydrogenase 1	1
219	RNA-directed RNA polymerase L	Inosine-5'-monophosphate dehydrogenase 2	1
220	RNA-directed RNA polymerase L	Genome polyprotein	1
221	Human immunodeficiency virus type 1 protease	Nuclear receptor subfamily 1 group I member 2	1
222	Prostaglandin G/H synthase 2	Peroxisome proliferator-activated receptor gamma	4
223	Prostaglandin G/H synthase 2	Arachidonate 5-lipoxygenase	1
224	Prostaglandin G/H synthase 2	Prostaglandin G/H synthase 1	6
225	Prostaglandin G/H synthase 2	Lactoylglutathione lyase	1
226	Prostaglandin G/H synthase 2	Free fatty acid receptor 1	1
227	Prostaglandin G/H synthase 2	Aldo-keto reductase family 1 member C3	1
228	Prostaglandin G/H synthase 2	Carbonyl reductase [NADPH] 1	1
229	Prostaglandin G/H synthase 2	Carbonic anhydrase 3	1
230	Prostaglandin G/H synthase 2	Estrogen receptor alpha	1
231	Prostaglandin G/H synthase 2	Aryl hydrocarbon receptor	2
232	Prostaglandin G/H synthase 2	Prostaglandin E synthase 3	1
233	Prostaglandin G/H synthase 2	Platelet glycoprotein Ib alpha chain	1
234	Prostaglandin G/H synthase 2	Arachidonate 15-lipoxygenase	1
235	Prostaglandin G/H synthase 2	Melatonin receptor type 1B	1
236	Prostaglandin G/H synthase 2	Thrombomodulin	1
237	Prostaglandin G/H synthase 2	Sodium/calcium exchanger 1	1
238	Prostaglandin G/H synthase 2	Melatonin receptor type 1A	1
239	Prostaglandin G/H synthase 2	Prostaglandin reductase 2	1
240	Prostaglandin G/H synthase 2	Peroxisome proliferator-activated receptor delta	1
241	Prostaglandin G/H synthase 2	Protein S100-A7	1
242	Prostaglandin G/H synthase 2	RAC-alpha serine/threonine-protein kinase	1
243	Prostaglandin G/H synthase 2	Tumor necrosis factor ligand superfamily member 11	1
244	Prostaglandin G/H synthase 2	Casein kinase II subunit alpha	1
245	Prostaglandin G/H synthase 2	Phospholipase A2, membrane associated	1
246	Prostaglandin G/H synthase 2	Prostaglandin D2 receptor 2	1
247	Prostaglandin G/H synthase 2	Tyrosine--tRNA ligase, cytoplasmic	1
248	Prostaglandin G/H synthase 2	Cystic fibrosis transmembrane conductance regulator	1
249	Prostaglandin G/H synthase 2	Peptostreptococcal albumin-binding protein	1
250	Prostaglandin G/H synthase 2	Phosphatidylinositol 4-kinase type 2-beta	1
251	Prostaglandin G/H synthase 2	Cadherin-11	1
252	Prostaglandin G/H synthase 2	Integrin beta-3	1
253	Prostaglandin G/H synthase 2	Cadherin-5	1
254	Prostaglandin G/H synthase 2	C-type lectin domain family 14 member A	1
255	Prostaglandin G/H synthase 2	Nuclear receptor subfamily 1 group I member 3	1
256	Prostaglandin G/H synthase 2	Amyloid beta A4 protein	1
257	Prostaglandin G/H synthase 2	3-phosphoinositide-dependent protein kinase 1	1
258	Prostaglandin G/H synthase 2	Transient receptor potential cation channel subfamily V member 1	2
259	Prostaglandin G/H synthase 2	Interleukin-6	1
260	Prostaglandin G/H synthase 2	Alpha-synuclein	1
261	Prostaglandin G/H synthase 2	Peroxisome proliferator-activated receptor alpha	4
262	Prostaglandin G/H synthase 2	NAD-dependent protein deacetylase sirtuin-1	1
263	Prostaglandin G/H synthase 2	Integrin alpha-5	1
264	Prostaglandin G/H synthase 2	Long-chain-fatty-acid--CoA ligase 4	1
265	Prostaglandin G/H synthase 2	Far upstream element-binding protein 2	1
266	Prostaglandin G/H synthase 2	Protein cereblon	1
267	Prostaglandin G/H synthase 2	Solute carrier family 2, facilitated glucose transporter member 1	1
268	Prostaglandin G/H synthase 2	Nuclear receptor subfamily 1 group I member 2	1
269	Prostaglandin G/H synthase 2	Apoptosis regulator Bcl-2	1
270	Prostaglandin G/H synthase 2	Fatty acid desaturase 1	1
271	Prostaglandin G/H synthase 2	Carbonic anhydrase 2	1
272	Prostaglandin G/H synthase 2	Fatty acid-binding protein, intestinal	1
273	Prostaglandin G/H synthase 1	Peroxisome proliferator-activated receptor gamma	4
274	Prostaglandin G/H synthase 1	Arachidonate 5-lipoxygenase	1
275	Prostaglandin G/H synthase 1	Lactoylglutathione lyase	1
276	Prostaglandin G/H synthase 1	Free fatty acid receptor 1	1
277	Prostaglandin G/H synthase 1	Aldo-keto reductase family 1 member C3	1
278	Prostaglandin G/H synthase 1	Carbonyl reductase [NADPH] 1	1
279	Prostaglandin G/H synthase 1	Estrogen receptor alpha	1
280	Prostaglandin G/H synthase 1	Aryl hydrocarbon receptor	1
281	Prostaglandin G/H synthase 1	Prostaglandin E synthase 3	1
282	Prostaglandin G/H synthase 1	Platelet glycoprotein Ib alpha chain	1
283	Prostaglandin G/H synthase 1	Arachidonate 15-lipoxygenase	1
284	Prostaglandin G/H synthase 1	Melatonin receptor type 1B	1
285	Prostaglandin G/H synthase 1	Thrombomodulin	1
286	Prostaglandin G/H synthase 1	Sodium/calcium exchanger 1	1
287	Prostaglandin G/H synthase 1	Melatonin receptor type 1A	1
288	Prostaglandin G/H synthase 1	Prostaglandin reductase 2	1
289	Prostaglandin G/H synthase 1	Peroxisome proliferator-activated receptor delta	1
290	Prostaglandin G/H synthase 1	Protein S100-A7	1
291	Prostaglandin G/H synthase 1	RAC-alpha serine/threonine-protein kinase	1
292	Prostaglandin G/H synthase 1	Casein kinase II subunit alpha	1
293	Prostaglandin G/H synthase 1	Phospholipase A2, membrane associated	1
294	Prostaglandin G/H synthase 1	Prostaglandin D2 receptor 2	1
295	Prostaglandin G/H synthase 1	Tyrosine--tRNA ligase, cytoplasmic	1
296	Prostaglandin G/H synthase 1	Cystic fibrosis transmembrane conductance regulator	1
297	Prostaglandin G/H synthase 1	Peptostreptococcal albumin-binding protein	1
298	Prostaglandin G/H synthase 1	Phosphatidylinositol 4-kinase type 2-beta	1
299	Prostaglandin G/H synthase 1	Integrin beta-3	1
300	Prostaglandin G/H synthase 1	Nuclear receptor subfamily 1 group I member 3	1
301	Prostaglandin G/H synthase 1	C-type lectin domain family 14 member A	1
302	Prostaglandin G/H synthase 1	Amyloid beta A4 protein	1
303	Prostaglandin G/H synthase 1	Transient receptor potential cation channel subfamily V member 1	2
304	Prostaglandin G/H synthase 1	Alpha-synuclein	1
305	Prostaglandin G/H synthase 1	Peroxisome proliferator-activated receptor alpha	4
306	Prostaglandin G/H synthase 1	NAD-dependent protein deacetylase sirtuin-1	1
307	Prostaglandin G/H synthase 1	Integrin alpha-5	1
308	Prostaglandin G/H synthase 1	Long-chain-fatty-acid--CoA ligase 4	1
309	Prostaglandin G/H synthase 1	Far upstream element-binding protein 2	1
310	Prostaglandin G/H synthase 1	Solute carrier family 2, facilitated glucose transporter member 1	1
311	Prostaglandin G/H synthase 1	Nuclear receptor subfamily 1 group I member 2	1
312	Prostaglandin G/H synthase 1	Apoptosis regulator Bcl-2	1
313	Prostaglandin G/H synthase 1	Fatty acid desaturase 1	1
314	Prostaglandin G/H synthase 1	Fatty acid-binding protein, intestinal	1
315	Peroxisome proliferator-activated receptor gamma	Arachidonate 5-lipoxygenase	1
316	Peroxisome proliferator-activated receptor gamma	Multidrug resistance-associated protein 5	1
317	Peroxisome proliferator-activated receptor gamma	Lactoylglutathione lyase	1
318	Peroxisome proliferator-activated receptor gamma	Free fatty acid receptor 1	1
319	Peroxisome proliferator-activated receptor gamma	Aldo-keto reductase family 1 member C3	1
320	Peroxisome proliferator-activated receptor gamma	Carbonyl reductase [NADPH] 1	2
321	Peroxisome proliferator-activated receptor gamma	Myelin P2 protein	1
322	Peroxisome proliferator-activated receptor gamma	Vitamin D3 receptor	1
323	Peroxisome proliferator-activated receptor gamma	Estrogen receptor alpha	1
324	Peroxisome proliferator-activated receptor gamma	Aryl hydrocarbon receptor	1
325	Peroxisome proliferator-activated receptor gamma	Type-1 angiotensin II receptor	1
326	Peroxisome proliferator-activated receptor gamma	Platelet glycoprotein Ib alpha chain	1
327	Peroxisome proliferator-activated receptor gamma	Arachidonate 15-lipoxygenase	1
328	Peroxisome proliferator-activated receptor gamma	Melatonin receptor type 1B	1
329	Peroxisome proliferator-activated receptor gamma	Potassium voltage-gated channel subfamily A member 3	1
330	Peroxisome proliferator-activated receptor gamma	Thrombomodulin	1
331	Peroxisome proliferator-activated receptor gamma	Sodium/calcium exchanger 1	1
332	Peroxisome proliferator-activated receptor gamma	Sterol regulatory element-binding protein 1	1
333	Peroxisome proliferator-activated receptor gamma	Melatonin receptor type 1A	1
334	Peroxisome proliferator-activated receptor gamma	Prostaglandin reductase 2	1
335	Peroxisome proliferator-activated receptor gamma	Peroxisome proliferator-activated receptor delta	2
336	Peroxisome proliferator-activated receptor gamma	Protein S100-A7	1
337	Peroxisome proliferator-activated receptor gamma	RAC-alpha serine/threonine-protein kinase	1
338	Peroxisome proliferator-activated receptor gamma	Casein kinase II subunit alpha	1
339	Peroxisome proliferator-activated receptor gamma	Phospholipase A2, membrane associated	1
340	Peroxisome proliferator-activated receptor gamma	Prostaglandin D2 receptor 2	1
341	Peroxisome proliferator-activated receptor gamma	Tyrosine--tRNA ligase, cytoplasmic	1
342	Peroxisome proliferator-activated receptor gamma	Cystic fibrosis transmembrane conductance regulator	1
343	Peroxisome proliferator-activated receptor gamma	Phosphatidylinositol 4-kinase type 2-beta	1
344	Peroxisome proliferator-activated receptor gamma	Integrin beta-3	1
345	Peroxisome proliferator-activated receptor gamma	Nuclear receptor subfamily 1 group I member 3	1
346	Peroxisome proliferator-activated receptor gamma	C-type lectin domain family 14 member A	1
347	Peroxisome proliferator-activated receptor gamma	Amyloid beta A4 protein	1
348	Peroxisome proliferator-activated receptor gamma	Retinoic acid receptor RXR-alpha	1
349	Peroxisome proliferator-activated receptor gamma	Glutathione S-transferase P	1
350	Peroxisome proliferator-activated receptor gamma	Transient receptor potential cation channel subfamily V member 1	1
351	Peroxisome proliferator-activated receptor gamma	Alpha-synuclein	1
352	Peroxisome proliferator-activated receptor gamma	Peroxisome proliferator-activated receptor alpha	6
353	Peroxisome proliferator-activated receptor gamma	NAD-dependent protein deacetylase sirtuin-1	1
354	Peroxisome proliferator-activated receptor gamma	Integrin alpha-5	1
355	Peroxisome proliferator-activated receptor gamma	Long-chain-fatty-acid--CoA ligase 4	1
356	Peroxisome proliferator-activated receptor gamma	Far upstream element-binding protein 2	1
357	Peroxisome proliferator-activated receptor gamma	Solute carrier family 2, facilitated glucose transporter member 1	1
358	Peroxisome proliferator-activated receptor gamma	Nuclear receptor subfamily 1 group I member 2	1
359	Peroxisome proliferator-activated receptor gamma	Amine oxidase [flavin-containing] B	1
